令和４年,人口動態統計,,
上巻　付録　第４表－３　年次・都道府県・性別人口　－女－

注：１) 各年次の人口は10月１日現在。1935年（昭和10年）・1947年（昭和22年）・1950年（昭和25年）以降５年ごとの人口は国勢調査人口である。
　　２) 1965年（昭和40年）以前は総人口、1970年（昭和45年）以降は日本人人口である。
　　３) 1947年（昭和22年）は地域的に配分されない調査もれを除く。
　　４) 1960年（昭和35年）の長野県西筑摩郡山口村と岐阜県中津川市の境界紛争地域の人口73人(男39人、女34人)は全国総数に含まれているが、長野県・岐阜県のいずれにも含まれていない。
　　５) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）・1995年（平成７年）については、国勢調査確定数。1990年（平成２年）・2000年（平成12年）・2005年（平成17年）・
　　　　2010年（平成22年）・2015年（平成27年）については、国勢調査確定数（按分済み人口）。2020年（令和２年）については、国勢調査確定数（不詳補完結果）。
　　６) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）の各報告書では、それぞれ１％抽出集計結果を用いたので本表と数値が異なる。
　　７) 1985年（昭和60年）については、全国は日本人人口、都道府県は総人口であり、「昭和60年国勢調査抽出速報集計結果」を用いた。
　　８) 2016年（平成28年）より、都道府県も日本人人口となり、「人口推計（各年10月１日現在）」を用いた。


33 岡山県,673874,837236,856742,873963,872706,863717,884237,932402,961427,989100,994687,1005828,1007896,1010088,1001347,991000,989171,985000,980000,975000,968000,965466,959000,951000
34 広島県,890731,1032139,1066012,1101860,1125214,1173268,1241091,1342069,1394283,1442700,1455687,1471025,1473811,1471833,1462584,1449000,1449184,1443000,1438000,1431000,1422000,1416596,1407000,1396000
35 山口県,592108,752801,780662,817293,821768,802639,785540,804425,820702,830600,820831,812096,798333,781890,760323,737000,733432,727000,720000,712000,704000,696897,689000,681000
36 徳島県,366706,443480,450827,450905,438974,425320,414273,420198,428898,430700,435235,435754,430556,422302,409816,398000,393250,390000,386000,382000,378000,372571,368000,364000
37 香川県,375134,477760,488042,487112,479943,473787,476713,499435,518115,534000,530852,531762,528312,522877,512129,504000,500419,497000,494000,491000,487000,484873,481000,476000
38 愛媛県,589271,750263,779786,791286,779376,758321,746269,766464,787039,805900,796797,792462,786013,771976,753654,734000,726565,721000,714000,708000,700000,695602,688000,680000
39 高知県,359755,437608,447906,453508,443433,425989,414549,424304,434150,445800,435389,431107,428736,420164,403672,389000,384019,380000,376000,371000,367000,362829,359000,354000
40 福岡県,1363005,1606843,1784563,1964399,2052043,2053294,2084444,2210330,2339164,2457700,2494104,2558171,2610433,2635684,2656287,2665000,2666507,2667000,2665000,2662000,2658000,2666323,2661000,2653000
41 佐賀県,353353,478316,489258,503312,494077,460948,444201,442411,453956,465700,462415,464610,460705,455935,447359,439000,437366,435000,431000,428000,425000,423243,420000,417000
42 長崎県,634709,782432,833413,887907,899798,852578,820560,819942,830540,836300,824130,815936,801640,783959,757036,735000,727784,721000,714000,706000,698000,690714,682000,674000
43 熊本県,706645,917788,945162,978492,969154,932152,901073,904440,938455,968000,969379,977557,978461,970838,958878,945000,939835,933000,926000,919000,913000,906600,901000,894000
44 大分県,498909,640576,648174,660797,648692,628047,613570,627094,644240,658200,650546,647301,642438,635621,626351,613000,609516,606000,601000,596000,590000,584000,579000,573000
45 宮崎県,408349,524387,556320,579613,582305,563457,552602,569343,600783,625500,616483,618424,616495,608984,599908,588000,582520,578000,573000,568000,563000,560714,556000,551000
46 鹿児島県,818340,910593,935155,1058495,1027822,980790,924717,919052,944658,974800,954173,951557,945879,929953,905316,883000,870830,864000,856000,849000,840000,832709,826000,817000
47 沖縄県,311228,…,…,…,…,…,…,528946,560524,593100,621356,645151,667152,689702,705867,720000,724136,726000,728000,729000,730000,736177,737000,736000
